last_name, first_name,player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,
Raburn, Ryan,430605,2016,69.4,25.3,24.2,49.6,50.4,66,133,52,550,74.4,89,352,48,507,
Johnson, Kelly,430637,2016,67.7,14.5,29.5,35.9,64.1,70,195,53.3,660,85.2,57,392,46.7,579,
Bautista, Jose,430832,2016,56.5,13.5,19,41.8,58.2,92,220,52.8,1160,86.3,79,585,47.2,1035,
Pena, Brayan,430910,2016,68.4,23.1,35,28.6,71.4,2,7,51.3,20,69.2,3,13,48.7,19,
Cain, Matt,430912,2016,51,38.5,44.4,70,25,14,20,46.9,45,50,10,26,53.1,51,
Jones, Adam,430945,2016,82.6,17,42.6,40.4,59.6,223,552,55.4,1295,82.9,146,860,44.6,1041,
Aybar, Erick,430947,2016,67.4,9.1,36.1,25.5,72,82,322,54.4,891,88.7,46,504,45.6,748,
Hill, Aaron,431094,2016,60,10.2,23.2,35.4,64.6,64,181,47.9,780,89.2,52,510,52.1,850,
Martin, Russell,431145,2016,56.9,24,19.2,49,50.5,102,208,47.5,1085,75.8,164,682,52.5,1199,
Kazmir, Scott,431148,2016,60.4,19,45.2,32.1,32.1,9,28,39.2,62,58.6,11,58,60.8,96,
Wright, David,431151,2016,61.8,30.1,17.2,56.9,43.1,37,65,52.9,379,69.9,63,209,47.1,338,
McGehee, Casey,431171,2016,64.6,9,28.5,34.1,65.9,14,41,43.2,144,91,11,122,56.8,189,
Blanco, Andres,433217,2016,77.3,19.2,34,38.9,61.1,58,149,56,438,80.8,51,266,44,344,
Granderson, Curtis,434158,2016,56.8,12.7,20.2,42.9,56.4,130,303,55.6,1497,87,86,679,44.4,1195,
Liriano, Francisco,434538,2016,72.1,26.5,42.2,44.4,51.9,12,27,48.5,64,73.5,13,49,51.5,68,
Ruiz, Carlos,434563,2016,55.6,7.2,17.3,32.9,67.1,28,85,49.5,492,92.8,20,279,50.5,502,
Soto, Geovany,434567,2016,55,22.6,29,38.9,61.1,14,36,42.3,124,76.3,21,93,57.7,169,
Hammel, Jason,434628,2016,71.9,19.6,43,53.1,42.9,26,49,45.8,114,76.3,19,97,54.2,135,
Pagan, Angel,434636,2016,57.9,7.6,23.3,21.5,77.6,53,246,49.8,1054,92.2,47,615,50.2,1063,
Davis, Rajai,434658,2016,71.9,15.7,31.8,42.4,54.9,122,288,49.3,906,83.4,105,669,50.7,931,
Ramirez, Hanley,434670,2016,65.9,14.8,29.6,41.4,58.6,159,384,53.7,1297,85.2,109,737,46.3,1119,
Morales, Kendrys,434778,2016,66.9,16,32.9,36.9,63.1,167,452,55.7,1374,84,117,732,44.3,1094,
Kendrick III, Howie,435062,2016,67,13.4,28.5,38.9,61.1,112,288,49.7,1009,86.6,92,685,50.3,1023,
Napoli, Mike,435063,2016,63.5,25.3,24.7,43.4,56.6,160,369,50.7,1495,74.7,234,924,49.3,1454,
Wilson, Bobby,435064,2016,72.1,22.1,36,46.6,52.8,76,163,48.3,453,77.1,77,349,51.7,484,
Kinsler, Ian,435079,2016,62.5,9,25.1,35.1,64.9,106,302,47.1,1202,90.7,76,843,52.9,1348,
Andino, Robert,435180,2016,75,18.2,33.3,36.4,63.6,4,11,42.9,33,81.8,6,33,57.1,44,
McCarthy, Brandon,435221,2016,28.6,16.7,12,0,100,0,3,37.3,25,75,2,12,62.7,42,
McCann, Brian,435263,2016,59.5,11.1,30.2,32.7,67.3,112,343,56.4,1135,88.5,58,522,43.6,878,
Walker, Neil,435522,2016,67.4,12.3,29,35.2,64.8,101,287,53.9,991,87.2,70,571,46.1,847,
Suzuki, Kurt,435559,2016,66,9.2,29,32.3,67.2,60,186,48.1,641,90.4,42,456,51.9,691,
Desmond, Ian,435622,2016,62.2,19,29.1,47.3,51.8,168,355,47.4,1219,80.8,160,842,52.6,1353,
Cruz Jr., Nelson,443558,2016,68.7,20.3,28.2,48.4,51.6,193,399,52.2,1416,79.7,181,890,47.8,1296,
Jaso, John,444379,2016,65.5,11.4,16.8,39.3,60.7,57,145,50.8,862,88.3,62,546,49.2,834,
Trumbo, Mark,444432,2016,69.1,20.1,31.4,47.6,52.4,206,433,52.6,1379,79.9,173,860,47.4,1244,
Peralta, David,444482,2016,72.6,12.6,34.2,42.6,56.6,52,122,53.8,357,87.4,28,223,46.2,307,
Pina, Manny,444489,2016,61.9,22.9,21.1,34.3,65.7,12,35,51.7,166,77.1,22,96,48.3,155,
Ethier, Andre,444843,2016,68.2,16.7,28.8,29.4,70.6,5,17,57.3,59,83.3,5,30,42.7,44,
Escobar, Alcides,444876,2016,69.7,14.9,38.6,30.1,67.6,146,485,51.1,1257,83.2,125,839,48.9,1203,
Jay, Jon,445055,2016,70.8,13.9,32.2,39.6,59,88,222,48.5,689,85.5,72,519,51.5,733,
Prado, Martin,445988,2016,51.5,6.2,26.9,19,81,64,336,48.6,1247,93.7,42,679,51.4,1319,
Duda, Lucas,446263,2016,61.7,12.6,25.4,39,61,39,100,57.1,393,86.8,23,182,42.9,295,
Wieters, Matt,446308,2016,71,18,34.1,33.2,65.8,103,310,54,908,81.6,99,550,46,775,
Longoria, Evan,446334,2016,64.5,19,32.4,40.4,59.6,165,408,49.9,1258,81,155,816,50.1,1265,
Cozart, Zack,446359,2016,65.8,11,27.1,38.1,61.5,96,252,49.1,931,88.8,70,636,50.9,966,
Barney, Darwin,446381,2016,65,14.2,27,29.1,70.9,39,134,43.3,496,85.5,60,422,56.7,649,
Guyer, Brandon,446386,2016,69.8,12,28.3,39,59.8,64,164,47.9,580,87.3,53,440,52.1,630,
Rodriguez, Sean,446481,2016,67.8,26.8,26.5,61.8,38.2,107,173,49,653,72.7,124,462,51,681,
Lobaton, Jose,446653,2016,75,15.3,33.6,38.2,61.8,29,76,53.1,226,84,23,150,46.9,200,
Hill, Rich,448179,2016,52.6,10,88.2,80,13.3,12,15,47.2,17,60,1,10,52.8,19,
Shields, James,448306,2016,53.5,30.4,42.1,75,25,12,16,46.9,38,60.9,7,23,53.1,43,
Reynolds, Mark,448602,2016,67.4,19.3,25.7,45.2,54.8,109,241,51.2,937,80.7,116,601,48.8,892,
Ruggiano, Justin,448605,2016,71.7,26.3,28.8,66.7,33.3,10,15,49.5,52,73.7,10,38,50.5,53,
Davis, Chris,448801,2016,62.4,27,27.4,54.5,44.8,232,426,56.4,1554,73,202,749,43.6,1201,
Garcia, Jaime,448802,2016,64,21.9,36,33.3,51.9,9,27,42.9,75,70.3,14,64,57.1,100,
Guerra, Junior,448855,2016,85.2,15.2,62,58.1,35.5,18,31,48.1,50,76.1,7,46,51.9,54,
Aviles, Mike,449107,2016,61.6,10,30.1,32.6,64.2,31,95,47,316,89.5,22,220,53,357,
Orlando, Paulo,449181,2016,76,16.2,38.2,41.5,57,137,330,51.8,864,83,99,611,48.2,804,
Zobrist, Ben,450314,2016,55.3,7.6,18.8,25.7,73.5,70,272,54.4,1443,91.5,51,670,45.6,1212,
Fowler, Dexter,451594,2016,62.9,16.4,17.6,39.9,58.7,89,223,52.2,1269,83.2,120,730,47.8,1160,
Rosario, Alberto,451705,2016,59,8.7,33.7,21.4,78.6,6,28,51.6,83,89.1,4,46,48.4,78,
Flowers, Tyler,452095,2016,65.2,20.9,23.5,53.1,46.9,77,145,47,618,79.1,95,455,53,698,
Headley, Chase,452104,2016,65.6,16.6,23.9,45.6,54.1,118,259,51.8,1084,82.9,110,662,48.2,1009,
Drew, Stephen,452220,2016,64.9,9.7,21.8,37.3,62.7,31,83,52.2,380,89.8,22,226,47.8,348,
Smith, Seth,452234,2016,60.4,13.7,21.7,42.5,57.1,90,212,53.3,978,85.9,71,518,46.7,858,
Lind, Adam,452252,2016,63.2,13.5,33.7,38.5,61.5,110,286,52.7,849,86.5,65,482,47.3,763,
Pence, Hunter,452254,2016,64.9,21.4,29.8,49.2,50.8,145,295,54.8,990,78.6,113,529,45.2,815,
Span, Denard,452655,2016,64.4,8.3,24.8,28.1,70.3,87,310,51,1248,91.2,64,774,49,1201,
Lester, Jon,452657,2016,60.6,19.6,26.5,48.6,51.4,17,35,45.2,132,77.3,19,97,54.8,160,
Hanigan, Ryan,452672,2016,57.7,19,25.1,33.3,66.7,17,51,43.4,203,81,29,153,56.6,265,
Cabrera, Asdrubal,452678,2016,72.6,15.3,32.3,37.4,62.4,136,364,54.1,1127,83.5,106,693,45.9,955,
Ellsbury, Jacoby,453056,2016,66.9,9.2,25.3,37.4,62.6,108,289,48.9,1142,90.3,73,797,51.1,1192,
Tulowitzki, Troy,453064,2016,61.4,16.8,26.8,30.7,69.3,84,274,48.6,1021,83.1,111,662,51.4,1079,
Robinson, Shane,453203,2016,59.2,15.1,28,31.5,64.8,17,54,47.5,193,82.5,19,126,52.5,213,
Stubbs, Drew,453211,2016,55.2,28.7,15.3,55.2,41.4,16,29,46.2,190,70.5,35,122,53.8,221,
Scherzer, Max,453286,2016,60.7,21.2,29.7,66.7,24.2,22,33,40.5,111,65.7,21,99,59.5,163,
Richard, Clayton,453385,2016,56.8,24,26.2,54.5,36.4,6,11,48.8,42,64,6,25,51.2,44,
Johnson, Chris,453400,2016,64,16.1,31.5,57.8,42.2,96,166,48.8,527,83.6,57,354,51.2,553,
Arrieta, Jake,453562,2016,64.7,28.3,30.9,53.2,46.8,25,47,49.8,152,70.7,28,99,50.2,153,
Blackmon, Charlie,453568,2016,63.9,10.5,32,28.5,70.6,125,439,52.5,1373,88.5,83,793,47.5,1241,
Ryan, Brendan,453895,2016,66.7,15,34.6,77.8,22.2,7,9,46.4,26,80,3,20,53.6,30,
Blanco, Gregor,453923,2016,66.2,11.6,22.9,34.6,63.8,45,130,52.7,568,85.2,39,337,47.3,509,
Frazier, Todd,453943,2016,65,21.7,30,41.2,58.8,179,434,52.2,1445,78.2,186,858,47.8,1321,
Ellis, A.J.,454560,2016,57.8,9.6,16.1,25.9,70.7,15,58,46.5,360,89.6,23,240,53.5,415,
Iribarren, Hernan,454975,2016,64,21.8,27.5,30,70,9,30,55.9,109,78.2,12,55,44.1,86,
Iannetta, Chris,455104,2016,71.1,22.3,17.1,46,54,52,113,47,660,77.5,118,528,53,743,
Maldonado, Martin,455117,2016,59.5,21,19.9,38.6,59.4,39,101,51.3,507,77.6,60,286,48.7,481,
Chirinos, Robinson,455139,2016,62.1,21.6,27.4,45.8,54.2,44,96,50.5,350,77.9,46,213,49.5,343,
Pena, Ramiro,455369,2016,66.7,9.4,40.1,37.3,61.2,25,67,51.2,167,90.6,10,106,48.8,159,
Stewart, Chris,455755,2016,49.6,6.8,17.9,22.5,77.5,9,40,48.7,224,88.9,8,117,51.3,236,
Young, Chris,455759,2016,62,14.7,20.9,46,52.9,40,87,48.7,417,85.3,40,273,51.3,440,
Markakis, Nick,455976,2016,61,9.6,21.4,21.3,78.7,62,291,52.1,1361,90.4,73,764,47.9,1253,
Pedroia, Dustin,456030,2016,58.4,9.8,24.7,19,81,58,306,45.4,1238,90.2,85,870,54.6,1490,
Price, David,456034,2016,48.3,42.9,29.4,20,60,1,5,37,17,57.1,6,14,63,29,
Castillo, Welington,456078,2016,58.9,19.6,27.2,43.7,56.3,108,247,48.8,908,80.4,110,562,51.2,954,
Kratz, Erik,456124,2016,64.7,23.1,34.9,64.7,35.3,33,51,43.8,146,74.4,28,121,56.2,187,
Bourn, Michael,456422,2016,60.4,15.4,21.6,45.8,53.6,77,168,47.6,779,82.3,80,519,52.4,859,
Nunez, Eduardo,456488,2016,70.7,11.6,36.8,26.8,71.4,106,395,50.5,1072,86.6,86,744,49.5,1052,
Cueto, Johnny,456501,2016,68.5,13.9,45.2,28.6,54.8,12,42,35.6,93,73.9,16,115,64.4,168,
Pearce, Steve,456665,2016,64.8,14.4,23.8,54.1,45.9,73,135,48.2,568,85.6,57,395,51.8,610,
Bailey, Homer,456701,2016,57.9,0,20,0,75,0,4,51.3,20,90.9,0,11,48.7,19,
Butler, Billy,456714,2016,61.2,12.7,31.2,35.8,64.2,62,173,52.5,555,87.3,39,307,47.5,502,
