last_name, first_name,player_id,year,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,
Bourjos, Peter,488721,2016,73.1,19.5,35.9,45.6,53.1,109,239,50.6,666,78.4,93,476,49.4,651,
Brantley Jr., Michael,488726,2016,63.3,3.5,25,30,70,6,20,47.1,80,96.5,2,57,52.9,90,
Cashner, Andrew,488768,2016,63.1,9.8,42.1,31.3,50,10,32,53.9,76,73.2,4,41,46.1,65,
Castro, Jason,488771,2016,64.9,24.8,23.6,49.7,50.3,90,181,50.8,768,75.2,120,483,49.2,744,
d'Arnaud, Chase,488818,2016,57.3,14,32.2,36,64,59,164,53.1,510,85.7,36,258,46.9,450,
Escobar, Yunel,488862,2016,69.9,7.9,27.2,39.5,60.1,104,263,49.8,967,91.9,54,681,50.2,974,
Gosewisch, Tuffy,488912,2016,60.7,14.3,30.6,32.7,67.3,18,55,47.9,180,84.9,17,119,52.1,196,
Miley, Wade,489119,2016,58.1,0,26.3,20,80,1,5,38,19,94.4,0,18,62,31,
Morrison, Logan,489149,2016,69.1,16.4,28.5,39.7,59.9,96,242,55.5,848,83.4,77,470,44.5,680,
Recker, Anthony,489232,2016,53.4,21,20.2,43.8,54.2,21,48,51.6,238,79,25,119,48.4,223,
Rosales, Adam,489267,2016,65.6,28.3,22.1,55.4,44.6,67,121,52.8,547,70.7,91,321,47.2,489,
Scruggs, Xavier,489305,2016,62.2,27,18,39.1,60.9,9,23,47.2,128,73,24,89,52.8,143,
Thole, Josh,489365,2016,66.9,11.7,21.8,35,63.3,21,60,50.6,275,86.7,21,180,49.4,269,
Garza, Matt,490063,2016,60.6,25,56.9,72.4,24.1,21,29,43.6,51,65,10,40,56.4,66,
Hernandez, Gorkys,491676,2016,64.4,11.8,32.4,47.1,50,16,34,47.1,105,84.2,9,76,52.9,118,
Sucre, Jesus,491696,2016,59.6,12.9,23.2,61.5,38.5,8,13,51.9,56,87.1,4,31,48.1,52,
Graterol, Juan,492802,2016,77.3,17.6,43.3,15.4,76.9,2,13,57.7,30,70.6,3,17,42.3,22,
Martinez, Michael,492841,2016,71.1,12,40.5,43.9,54.5,29,66,46.6,163,82.7,16,133,53.4,187,
Aoki, Norichika,493114,2016,65.8,8.6,26.8,23.7,74.9,49,207,46.2,773,90.1,51,593,53.8,901,
Kawasaki, Munenori,493128,2016,64.2,20.6,14.8,25,75,2,8,50.5,54,79.4,7,34,49.5,53,
Lee, Dae-Ho,493193,2016,63.7,14.5,30.4,43.5,56.5,81,186,49,612,85.5,59,406,51,637,
Cespedes, Yoenis,493316,2016,64.6,17,33.1,36.5,63.5,148,405,55.9,1225,83,106,625,44.1,968,
Gurriel, Yuli,493329,2016,75.8,14,37.2,26.7,73.3,23,86,52.7,231,85.4,22,157,47.3,207,
Olivera, Hector,493343,2016,59.5,16,32.1,33.3,66.7,3,9,40,28,84,4,25,60,42,
Ramirez, Alexei,493351,2016,65.3,10.5,32.5,28.2,71.8,86,305,51,938,89,62,589,49,902,
Campbell, Eric,493472,2016,62.2,15,21.5,54.8,45.2,23,42,50.3,195,85,18,120,49.7,193,
Beckham, Gordon,493596,2016,62.4,14.1,23.3,39.1,60.9,50,128,49.7,550,85.9,49,347,50.3,556,
Colabello, Chris,499624,2016,69.1,27.7,23.2,46.2,53.8,6,13,45.2,56,72.3,13,47,54.8,68,
Solarte, Yangervis,500208,2016,68.9,9.9,34.2,29.4,70.6,85,289,53.1,844,89.9,51,513,46.9,745,
Rojas, Miguel,500743,2016,63.7,12.3,35.1,24.1,74.5,34,141,49.5,402,87.4,32,261,50.5,410,
Escobar, Eduardo,500871,2016,67.9,11.4,34.2,33.7,65.9,85,252,52.4,737,88.4,52,455,47.6,670,
Martinez, Jose,500874,2016,68.8,4.5,34.1,14.3,85.7,2,14,56.2,41,95.5,1,22,43.8,32,
Adrianza, Ehire,501303,2016,69.6,5,35.5,36,62,18,50,55.1,141,93.8,4,80,44.9,115,
Lagares, Juan,501571,2016,59,16,30.6,29.1,67,30,103,52.3,337,82.9,29,181,47.7,307,
Almonte, Abraham,501659,2016,73.6,18.8,32.1,38,62,46,121,52,377,80.5,48,256,48,348,
Kalish, Ryan,501888,2016,62.5,0,42.3,18.2,81.8,2,11,61.9,26,100,0,10,38.1,16,
Freese, David,501896,2016,62.8,19.5,27.3,45.7,54.3,133,291,51.7,1067,80.5,122,625,48.3,995,
Davis, Khris,501981,2016,74.4,27.7,29.2,49.9,50.1,169,339,49.8,1160,72.3,241,871,50.2,1171,
Hunter, Cedric,501986,2016,69,5,42.6,27.6,72.4,8,29,54,68,95,2,40,46,58,
Norris, Bud,502032,2016,65.6,9.5,34,38.9,61.1,7,18,45.3,53,83.3,4,42,54.7,64,
Burriss, Emmanuel,502034,2016,80.8,20.3,35.5,39.4,54.5,13,33,56,93,78,12,59,44,73,
Locke, Jeff,502046,2016,41.9,19.4,16.7,58.3,33.3,7,12,45.6,72,75,7,36,54.4,86,
Pham, Tommy,502054,2016,61.2,26.6,21.6,64.6,35.4,53,82,49.5,379,72.2,63,237,50.5,387,
Chisenhall, Lonnie,502082,2016,74.2,9.7,41.2,29.7,70.3,103,347,53,842,90.1,54,555,47,748,
Presley, Alex,502100,2016,63.7,15.5,27,32.9,65.8,24,73,48.7,270,84.5,28,181,51.3,284,
Martinez, J.D.,502110,2016,75.6,19,31.3,52,48,172,331,52.4,1059,81,138,728,47.6,963,
Valencia, Danny,502143,2016,60.2,15.8,29.4,51.5,48.5,159,309,52.1,1052,84.2,92,582,47.9,967,
Clevenger, Steve,502182,2016,61.6,10.8,17.8,44.4,55.6,12,27,50.2,152,89.2,10,93,49.8,151,
Samardzija, Jeff,502188,2016,76,40.2,42.7,53.7,43.9,22,41,44.2,96,58.7,37,92,55.8,121,
Leake, Mike,502190,2016,72.4,26.2,32.5,56.8,35.1,21,37,49.6,114,66.7,22,84,50.4,116,
Green, Grant,502205,2016,66.7,12.9,44.4,22.7,77.3,10,44,51.6,99,87.1,8,62,48.4,93,
Reddick, Josh,502210,2016,63.2,12,26.5,24.3,75.3,58,239,52.4,901,87.5,62,518,47.6,820,
Gentry, Craig,502226,2016,66.7,10.3,18.3,61.5,38.5,8,13,44.9,71,81,6,58,55.1,87,
Cahill, Trevor,502239,2016,52.2,16.7,42.1,12.5,75,1,8,45.2,19,75,2,12,54.8,23,
Gillespie, Cole,502261,2016,61.9,15.4,19.6,72.7,27.3,16,22,47.1,112,84.6,12,78,52.9,126,
Freeman, Mike,502273,2016,63.2,13.9,29.5,46.2,53.8,6,13,43.6,44,86.1,5,36,56.4,57,
Ladendorf, Tyler,502285,2016,58.4,8.5,25,57.9,42.1,11,19,42.9,76,86.4,5,59,57.1,101,
Heisey, Chris,502317,2016,59.5,20.6,21.2,53.2,45.2,33,62,46.1,293,78.4,42,204,53.9,343,
Dyson, Jarrod,502481,2016,67.7,8.2,21.9,27.8,67.5,35,126,47.6,575,87.4,35,429,52.4,634,
Murphy, Daniel,502517,2016,63.7,6.1,30.8,22.5,77.5,78,346,54,1122,93.9,37,610,46,957,
O'Malley, Shawn,502523,2016,66.4,16.3,23.5,30.3,62.6,30,99,46.6,421,78.8,52,320,53.4,482,
Buss, Nick,502544,2016,67.2,12,38.9,39.7,60.3,25,63,48.2,162,85.5,14,117,51.8,174,
Schafer, Logan,502582,2016,59,15.9,31.5,51.2,48.8,21,41,48.3,130,82.9,13,82,51.7,139,
Anderson, Chase,502624,2016,69.5,15.1,45.5,51.4,31.4,18,35,42.3,77,69.9,11,73,57.7,105,
Goldschmidt, Paul,502671,2016,59.7,18.4,20.7,33.6,66.4,114,339,54.4,1640,81.6,151,819,45.6,1372,
Figueroa, Cole,502676,2016,68.3,7.1,33.3,13.3,86.7,2,15,52.3,45,85.7,2,28,47.7,41,
Lalli, Blake,503351,2016,87,5,27.8,60,40,3,5,43.9,18,95,1,20,56.1,23,
Beresford, James,503437,2016,80.9,7.9,27,20,80,2,10,44,37,89.5,3,38,56,47,
De La Cruz, Joel,503444,2016,61.1,36.4,43.5,70,30,7,10,39,23,50,8,22,61,36,
Peralta, Wily,503449,2016,69.3,23.1,35.2,47.4,31.6,9,19,41.9,54,71.2,12,52,58.1,75,
Gonzalez, Marwin,503556,2016,65.8,14.7,35.1,42.5,56.4,154,362,53.9,1032,83.1,85,580,46.1,881,
Nicasio, Juan,504379,2016,69,20.7,38.7,50,41.7,6,12,42.5,31,79.3,6,29,57.5,42,
Amarista, Alexi,506560,2016,61.7,12.1,29.7,25.9,72.9,22,85,50.4,286,87.4,21,174,49.6,282,
Leon, Sandy,506702,2016,57.2,12,31.8,30.9,68.1,63,204,53.6,641,87.4,38,317,46.4,554,
Pena, Francisco,506747,2016,65.3,24.5,39.3,50,50,12,24,44.9,61,75.5,12,49,55.1,75,
Cardullo, Stephen,506924,2016,74.2,17.4,40.9,34.6,65.4,18,52,50.6,127,82.6,16,92,49.4,124,
Altuve, Jose,514888,2016,70.4,10.2,30.7,24.9,74.6,104,417,54.9,1358,89.3,80,785,45.1,1115,
Tejada, Ruben,514913,2016,74.6,12.3,27,47.1,50,16,34,47,126,87.7,13,106,53,142,
Hernandez, Cesar,514917,2016,67.8,13.2,23.7,38,58.6,111,292,51.1,1233,84.8,106,801,48.9,1182,
Segura, Jean,516416,2016,63.6,11.1,29.9,29.5,70.5,118,400,49.6,1339,87.6,96,865,50.4,1360,
Castro, Starlin,516770,2016,68.1,15.3,35.3,38.6,61.4,154,399,50.2,1131,84.7,117,763,49.8,1120,
Marte, Starling,516782,2016,73.1,16.2,38.1,40.8,57.2,166,407,53.7,1069,83.1,109,674,46.3,922,
Lake, Junior,516809,2016,69.5,24.6,26.3,47.6,52.4,10,21,49.4,80,73.7,14,57,50.6,82,
Sanchez, Hector,516949,2016,77.7,13.7,37.3,40.9,59.1,18,44,55.7,118,86.3,10,73,44.3,94,
Pirela, Jose,517369,2016,57.1,11.4,27.6,42.9,57.1,9,21,49.7,76,88.6,5,44,50.3,77,
Paredes, Jimmy,517370,2016,72.2,25,45.4,45.8,53.6,76,166,57.9,366,74.5,48,192,42.1,266,
Bettis, Chad,518452,2016,54,20.6,26,40,44,10,25,43.2,96,72.1,14,68,56.8,126,
Blash, Jabari,518466,2016,64.8,37.6,21.8,48.6,51.4,18,37,46.8,170,62.4,47,125,53.2,193,
Brentz, Bryce,518490,2016,60.5,19.4,30.5,35.9,64.1,14,39,51.8,128,80.6,14,72,48.2,119,
Bumgarner, Madison,518516,2016,65.7,32.1,24.8,62,36,31,50,49.8,202,65.7,43,134,50.2,204,
Centeno, Juan,518542,2016,62.9,11.8,31.2,36.8,62.4,43,117,50.7,375,87.8,27,229,49.3,364,
Clemens, Paul,518560,2016,60.4,27.6,42.9,60,26.7,9,15,42.2,35,72.4,8,29,57.8,48,
Colon, Christian,518568,2016,61.2,10.1,28.8,39.3,58.4,35,89,51.5,309,89.3,18,178,48.5,291,
Cowgill, Collin,518577,2016,64,31.3,32.3,40,60,4,10,55.4,31,68.8,5,16,44.6,25,
Culberson, Charlie,518586,2016,70.4,13.6,38.9,40.5,59.5,17,42,48.4,108,86.4,11,81,51.6,115,
d'Arnaud, Travis,518595,2016,64.9,13.7,24.3,24.2,75.8,29,120,46.7,494,86.1,50,366,53.3,564,
Descalso, Daniel,518614,2016,64,14.7,18.6,46,53.1,52,113,52.3,606,84.5,52,354,47.7,553,
Dietrich, Derek,518618,2016,65.8,11.5,30.4,35.6,64,94,264,53.9,867,88.5,56,488,46.1,742,
Dominguez, Matt,518625,2016,44.4,8.3,29.2,14.3,85.7,1,7,47.1,24,91.7,1,12,52.9,27,
Donaldson, Josh,518626,2016,63.4,17.2,23.4,39.8,59.9,149,374,54.1,1598,82.6,148,858,45.9,1354,
Eibner, Brett,518649,2016,69.5,22.6,24.4,42.1,55.8,40,95,47.4,390,77.4,68,301,52.6,433,
Elmore, Jake,518653,2016,54.1,11.1,14.4,27.6,69,8,29,46.4,202,86.5,14,126,53.6,233,
Freeman, Freddie,518692,2016,79.5,23.6,29.5,41.8,57.7,192,459,56.2,1555,76.2,227,963,43.8,1211,
Fryer, Eric,518700,2016,66.9,18.4,18.4,45.5,50,20,44,43.7,239,81.6,38,206,56.3,308,
Grandal, Yasmani,518735,2016,61.5,19,21.1,50.2,49.3,112,223,54.8,1057,80.8,102,537,45.2,873,
Harvey, Matt,518774,2016,71.7,15.8,51.7,20,60,3,15,35.4,29,78.9,6,38,64.6,53,
Heyward, Jason,518792,2016,60,11.8,23.7,29.7,70.3,82,276,51,1164,87.6,79,670,49,1117,
LeMahieu, DJ,518934,2016,59.5,8.2,23.2,20.7,79.3,60,290,48.5,1249,91.1,65,790,51.5,1328,
Lough, David,518953,2016,62.6,7.8,33.5,28.6,71.4,16,56,57.6,167,90.9,6,77,42.4,123,
Lucroy, Jonathan,518960,2016,56.4,13.3,28.4,32.7,67.3,100,306,49.1,1076,86.7,84,630,50.9,1117,
Mastroianni, Darin,518991,2016,59.1,7.7,20,80,20,4,5,53.2,25,92.3,1,13,46.8,22,
Mesoraco, Devin,519023,2016,61.9,11.7,27.2,28.6,71.4,8,28,51.5,103,88.3,7,60,48.5,97,
Middlebrooks, Will,519025,2016,48.2,7.4,30.4,66.7,33.3,14,21,55.2,69,92.6,2,27,44.8,56,
Moore, Matt,519043,2016,65.1,29.3,40.8,55,45,11,20,43.8,49,70.7,12,41,56.3,63,
Moreland, Mitch,519048,2016,69.7,18.2,32.6,45.1,54.9,165,366,56.9,1121,81.6,108,592,43.1,849,
Moustakas, Mike,519058,2016,64.3,9.5,23.6,31.7,68.3,19,60,54.4,254,89.8,13,137,45.6,213,
Nelson, Jimmy,519076,2016,58.5,28.9,28.9,53.8,26.9,14,26,40.9,90,56.6,22,76,59.1,130,
Noonan, Nick,519082,2016,71.4,32,22,66.7,33.3,6,9,53.9,41,68,8,25,46.1,35,
Norris, Derek,519083,2016,63.9,17.2,23.6,55.8,44.2,120,215,48,912,82.8,109,632,52,989,
Pomeranz, Drew,519141,2016,72.2,36.5,54.2,68.8,31.3,22,32,45,59,61.5,19,52,55,72,
Revere, Ben,519184,2016,53.8,5,24.9,18.6,79,31,167,49.9,671,93.7,18,363,50.1,675,
Rizzo, Anthony,519203,2016,64,12.7,29.7,31.8,68,140,440,55.7,1479,86.6,96,753,44.3,1176,
Robinson, Clint,519208,2016,66.3,11.2,24.2,30.2,69.8,35,116,56,480,88.8,28,250,44,377,
Romine, Austin,519222,2016,75.2,11.5,34.7,35.2,63.8,37,105,48.4,303,86.8,28,243,51.6,323,
Rupp, Cameron,519237,2016,67.7,24.4,28.9,43.5,56.1,100,230,50.6,795,75.6,128,525,49.4,775,
Smolinski, Jake,519295,2016,64.1,8.6,30.1,31.3,68.7,52,166,48.8,551,91.4,32,370,51.2,577,
Souza Jr., Steven,519306,2016,70.6,28.2,27.5,48.8,51.2,119,244,48.3,887,71.5,189,670,51.7,949,
Stanton, Giancarlo,519317,2016,66.2,23,30.8,54.9,45.1,186,339,58.1,1099,77,121,525,41.9,793,
Szczur, Matt,519333,2016,75.8,17,30.7,38.7,54.1,43,111,47.7,361,80.3,51,300,52.3,396,
Vogt, Stephen,519390,2016,60.2,10.7,30.7,30,70,98,327,50.1,1064,88.7,68,638,49.9,1060,
Wilkins, Andy,519421,2016,70.4,42.1,23.9,35.3,64.7,6,17,56.8,71,57.9,16,38,43.2,54,
Worth, Danny,519445,2016,70.8,7.8,16.4,33.3,66.7,4,12,50.3,73,92.2,4,51,49.7,72,
Galvis, Freddy,520471,2016,68.3,14.3,39.2,30.4,68.8,148,487,53,1243,84.1,108,753,47,1102,
Perez, Salvador,521692,2016,69.1,13.9,42.7,36.5,63.5,158,433,54.1,1014,86.1,83,595,45.9,861,
Forsythe, Logan,523253,2016,57.2,18.8,19,36.4,63.6,75,206,46.1,1084,81.2,136,725,53.9,1268,
De La Rosa, Rubby,523989,2016,61.8,14.3,35,42.9,57.1,3,7,37,20,76.2,3,21,63,34,
Flores, Wilmer,527038,2016,69.8,14.3,28.4,23.2,76.8,45,194,50.9,682,85.4,66,460,49.1,659,
Marte, Jefry,527043,2016,65.4,17.3,27.2,46.9,53.1,69,147,50.5,540,82.7,60,346,49.5,529,
Teheran, Julio,527054,2016,63.2,12.5,36.9,41.9,45.2,13,31,42.4,84,76.4,9,72,57.6,114,
Holt, Tyler,534627,2016,60.2,17.7,27.9,36.4,63.6,44,121,50.7,434,80.7,45,254,49.3,422,
Adleman, Tim,534947,2016,55.8,27.6,42.1,43.8,43.8,7,16,42.2,38,58.6,8,29,57.8,52,
Nava, Daniel,537953,2016,62.3,9.9,23.5,34.4,65.6,22,64,46.9,272,90.1,19,192,53.1,308,
Cabrera, Ramon,541608,2016,67,14.6,34.5,34.7,64.4,41,118,52.8,342,84.9,30,205,47.2,306,
Garcia, Avisail,541645,2016,75.3,21,37.7,52.8,47.2,188,356,54.8,944,79,123,586,45.2,778,
Perez, Hernan,541650,2016,67.5,16.5,40,42.1,57.6,125,297,49.1,743,82.3,86,520,50.9,770,
Bethancourt, Christian,542194,2016,73.9,26.1,42.4,39.8,60.2,68,171,53.7,403,73.9,67,257,46.3,348,
Perez, Carlos,542208,2016,63.1,12.3,32.7,37.1,60,65,175,51.6,535,85.5,39,317,48.4,502,
Inciarte, Ender,542255,2016,63.9,6.6,31.5,18.6,78.1,62,333,50.9,1057,90,43,650,49.1,1018,
Ozuna, Marcell,542303,2016,64.3,16.2,31.5,45.4,54.6,169,372,53,1180,83.8,109,672,47,1045,
Villar, Jonathan,542340,2016,66.2,20.6,22.2,43.9,53.3,140,319,51.4,1436,77.3,185,899,48.6,1357,
Ortega, Rafael,542364,2016,65.3,7.7,32.6,25.4,71.4,32,126,53.5,387,89.5,17,220,46.5,337,
Adames, Cristhian,542436,2016,66.5,14.2,28.5,35.2,64.1,50,142,51.2,499,84.8,45,316,48.8,475,
Santana, Danny,542454,2016,73.1,17.8,38.2,37.1,60.8,69,186,53.1,487,77.1,56,315,46.9,431,
Arcia, Oswaldo,542455,2016,66.7,25.9,36,51.1,47.8,94,184,55.4,511,74.1,71,274,44.6,411,
Telis, Tomas,542513,2016,59.1,15.4,19,50,50,2,4,48.8,21,84.6,2,13,51.2,22,
Anderson, Tyler,542881,2016,73.4,13.8,32.4,45.8,41.7,11,24,48.4,74,67.2,8,58,51.6,79,
Bandy, Jett,542908,2016,77,16.8,36.3,28.9,71.1,44,152,50.1,419,83.2,54,321,49.9,417,
Beckham, Tim,542921,2016,66.9,27.5,31.2,56.3,42.2,72,128,48.2,410,71.5,81,295,51.8,441,
Broxton, Keon,542979,2016,67.4,26.1,22.6,62.7,35.7,79,126,53,557,70.6,87,333,47,494,
Burns, Billy,542993,2016,71,9.3,31.7,18.6,78.4,31,167,48.4,527,89.2,37,399,51.6,562,
Chatwood, Tyler,543022,2016,60.7,13.5,22.4,36.8,52.6,7,19,41.1,85,75.7,10,74,58.9,122,
Cole, Gerrit,543037,2016,61.7,27.6,29.4,60,35,12,20,42,68,65.5,16,58,58,94,
Conley, Adam,543045,2016,57.9,23.6,45.1,40.6,37.5,13,32,42.8,71,69.1,13,55,57.2,95,
Cosart, Jarred,543054,2016,54.5,16.7,47.8,45.5,54.5,5,11,41.1,23,77.8,3,18,58.9,33,
Crawford, Brandon,543063,2016,76.8,18.1,29.4,44.7,54.7,170,380,54.7,1291,81.5,149,822,45.3,1071,
Cron, C.J.,543068,2016,69.2,15.6,35.4,38.2,61.8,113,296,50.9,835,84.4,87,558,49.1,806,
Decker, Jaff,543094,2016,70.1,13.3,26.8,36.4,60.6,12,33,53.5,123,86.7,10,75,46.5,107,
DeSclafani, Anthony,543101,2016,65.6,39,36.5,60.9,39.1,14,23,41.2,63,61,23,59,58.8,90,
Dickerson, Alex,543105,2016,70.1,13.5,26.4,34.2,65.8,52,152,51.6,575,86.2,51,378,48.4,539,
Federowicz, Tim,543148,2016,59.2,26.7,29.3,68.2,31.8,15,22,49.7,75,71.1,12,45,50.3,76,
Friedrich, Christian,543184,2016,56.3,35.2,25.8,56.3,18.8,9,16,39.2,62,53.7,19,54,60.8,96,
Giavotella, Johnny,543213,2016,65.5,7.9,28.1,39.2,60.8,62,158,46.1,563,91.4,34,431,53.9,658,
Gillaspie, Conor,543216,2016,75,8.3,35.7,34.3,65.7,46,134,54,375,91.7,20,240,46,320,
Gomes, Yan,543228,2016,74.2,17.4,37.4,42.1,57.9,67,159,46.5,425,82.3,63,362,53.5,488,
Gose, Anthony,543238,2016,63.4,22.3,23.1,59.6,36.5,31,52,52.3,225,74.6,29,130,47.7,205,
Grossman, Robbie,543257,2016,57.9,17.4,18.8,44.6,54.1,70,157,51.5,834,82.2,79,454,48.5,784,
Harrison, Josh,543281,2016,71.6,18.8,36.2,22.3,76.8,73,327,47.6,903,80.2,134,711,52.4,993,
Hendricks, Kyle,543294,2016,68.9,31.9,37.8,37.8,56.8,14,37,42.6,98,63.7,29,91,57.4,132,
Herrmann, Chris,543302,2016,70.8,21.7,29.2,50.5,49.5,53,105,52.9,359,77.4,49,226,47.1,319,
Hicks, Aaron,543305,2016,70.7,18.5,23.6,41.3,57.6,71,172,52.9,730,80.7,85,460,47.1,651,
Hood, Destin,543329,2016,73.2,13.3,39,65.2,34.8,15,23,59,59,86.7,4,30,41,41,
Hosmer, Eric,543333,2016,70,15.8,31.3,44.5,55.3,197,443,55.3,1417,83.9,127,802,44.7,1146,
Joseph, Caleb,543376,2016,67.2,14.1,33.6,42.6,56.4,43,101,52.3,301,85.3,26,184,47.7,274,
Kipnis, Jason,543401,2016,61.1,11.7,25.5,38.5,60.9,136,353,50.2,1384,87.6,98,840,49.8,1374,
Koehler, Tom,543408,2016,57.3,21.1,38,57.1,37.1,20,35,42.6,92,69,15,71,57.4,124,
Lamb, John,543424,2016,58.9,15.2,40.5,26.7,46.7,4,15,39.8,37,60.6,5,33,60.2,56,
Lawrie, Brett,543434,2016,61.5,22.1,30.6,46.8,53.2,96,205,46,671,77.5,107,485,54,789,
Mahtook, Mikie,543484,2016,63.7,20.6,30.7,43.3,55.8,52,120,50.2,391,78.1,51,247,49.8,388,
McCann, James,543510,2016,61.1,19.3,30.9,46.8,52.8,101,216,48.1,699,79.6,89,461,51.9,755,
Miller, Brad,543543,2016,70.3,20.9,29.2,40.6,59.4,142,350,51.6,1199,79,165,791,48.4,1125,
Montgomery, Mike,543557,2016,76,42.1,33.3,60,40,3,5,37.5,15,47.4,8,19,62.5,25,
Nieuwenhuis, Kirk,543590,2016,66.5,29.3,21.2,56.8,42.1,108,190,54.8,895,69.2,144,491,45.2,738,
Rendon, Anthony,543685,2016,62.2,13.4,21.2,28.2,71.8,74,262,47.4,1233,86.2,114,850,52.6,1367,
Roark, Tanner,543699,2016,60.3,20.7,34.7,50,50,21,42,47.1,121,75.6,17,82,52.9,136,
Robertson, Daniel,543706,2016,50,10.5,11.1,25,75,1,4,48.6,36,89.5,2,19,51.4,38,
Rusin, Chris,543734,2016,68.8,12.1,37.7,20,75,4,20,52.5,53,84.8,4,33,47.5,48,
Sands, Jerry,543742,2016,63.7,35.4,34.6,55.6,44.4,20,36,45.6,104,64.6,28,79,54.4,124,
Semien, Marcus,543760,2016,65.4,18.3,25.5,37.4,62,122,326,49.3,1276,81.3,157,857,50.7,1310,
Shaw, Travis,543768,2016,67.3,16.5,31.7,38,60.9,140,368,54.5,1161,83.3,108,653,45.5,970,
Shuck, JB,543776,2016,61.6,5.2,29.3,21.9,77.2,25,114,47,389,93,14,270,53,438,
Springer III, George,543807,2016,71.5,23.1,25.4,40.2,59.8,157,391,52.4,1537,76.7,230,997,47.6,1395,
Strange-Gordon, Dee,543829,2016,65.8,9.8,34.1,29.5,67.7,64,217,50,636,87.1,41,419,50,637,
Vazquez, Christian,543877,2016,61.9,11.4,31.7,25.9,74.1,30,116,49,366,88.6,27,236,51,381,
Wong, Kolten,543939,2016,68.7,10.5,29.2,31.2,67.9,69,221,55.3,757,88.8,44,421,44.7,613,
Suarez, Albert,544150,2016,71.8,39.3,44.1,66.7,33.3,10,15,46.6,34,60.7,11,28,53.4,39,
Gregorius, Didi,544369,2016,74.3,13,38.9,27.7,71.4,119,430,53.5,1105,86.9,93,715,46.5,962,
Garcia, Leury,544725,2016,67.9,27.8,32.6,31,65.5,9,29,45.6,89,70.8,20,72,54.4,106,
den Dekker, Matthew,544925,2016,60.5,16.3,24.4,55,45,11,20,50.3,82,81.6,8,49,49.7,81,
Strasburg, Stephen,544931,2016,66.4,6.5,27,29.4,52.9,5,17,35.2,63,85.7,5,77,64.8,116,
Franklin, Nick,545338,2016,70.7,18.5,26.5,36,62.9,32,89,47.7,336,80.8,48,260,52.3,368,
Grichuk, Randal,545341,2016,73.1,22.7,35.6,45.1,54.9,152,337,51.4,947,77.3,149,655,48.6,896,
Marisnick, Jake,545350,2016,73.9,19.2,31.8,41.1,56.6,72,175,48.7,550,78.7,82,428,51.3,579,
Stassi, Max,545358,2016,70.8,35.3,29.6,75,25,6,8,52.9,27,64.7,6,17,47.1,24,
Trout, Mike,545361,2016,57.5,15.4,21.7,33.3,66.7,117,351,54,1617,84.6,122,794,46,1380,
Herrera, Odubel,546318,2016,68.8,14.9,34.3,36.1,62.4,187,518,57.4,1512,82.5,115,770,42.6,1120,
Almora Jr., Albert,546991,2016,61.9,16.4,41.6,32.9,64.6,27,82,50,197,82,20,122,50,197,
Whalen, Rob,547007,2016,71.4,20,33.3,33.3,33.3,1,3,30,9,66.7,3,15,70,21,
Wolters, Tony,547172,2016,63.8,17.5,28,38.3,59.2,46,120,48.9,428,80.8,50,286,51.1,448,
Harper, Bryce,547180,2016,67.5,16.3,24.3,35.9,63,132,368,59.6,1517,83.5,113,695,40.4,1030,
Perez, Roberto,547379,2016,58.8,15.8,21.7,43.5,52.9,37,85,51,391,83.3,35,221,49,376,
Kim, Hyun Soo,547957,2016,59.4,11.6,20.6,26,74,38,146,50.9,709,87.7,47,406,49.1,683,
Martin, Leonys,547982,2016,70.3,21.9,33.4,42.3,52.3,157,371,50.3,1112,73.5,169,773,49.7,1099,
Abreu, Jose,547989,2016,68,14.5,37.7,37.1,62.9,211,568,55.8,1505,85.5,117,809,44.2,1190,
Verrett, Logan,548337,2016,70.8,23.5,29,33.3,44.4,3,9,39.2,31,50,8,34,60.8,48,
Stripling, Ross,548389,2016,54.1,24.2,32.6,64.3,14.3,9,14,41.3,43,69.7,8,33,58.7,61,
Romero, Stefen,552662,2016,66.7,15.4,26.2,27.3,72.7,3,11,51.9,42,84.6,4,26,48.1,39,
Narvaez, Omar,553882,2016,72.8,14.7,18.9,22,78,9,41,47.2,217,85.3,26,177,52.8,243,
Machado, Dixon,553988,2016,66.7,5,30.6,45.5,45.5,5,11,54.5,36,90,1,20,45.5,30,
Suarez, Eugenio,553993,2016,61.4,17.3,26,42.2,57.5,144,341,50.6,1312,82.6,136,787,49.4,1282,
Perez, Williams,554234,2016,55.6,16,36,44.4,44.4,4,9,35.7,25,84,4,25,64.3,45,
Ackley, Dustin,554429,2016,51.4,12.7,21.5,29,71,9,31,51.1,144,87.3,9,71,48.9,138,
Polanco, Gregory,570256,2016,68.9,12.8,29.9,35.7,64,150,420,58.5,1404,86.3,88,687,41.5,997,
Santana, Domingo,570267,2016,60.9,20.4,23.3,55.6,44.4,80,144,53,618,79.6,68,333,47,547,
Gonzalez, Erik,570481,2016,70.6,37.5,53.8,64.3,35.7,9,14,43.3,26,62.5,9,24,56.7,34,
Alcantara, Arismendy,570489,2016,74.4,41.4,63,35.3,58.8,6,17,40.9,27,58.6,12,29,59.1,39,
