last_name, first_name,player_id,year,xba,out_zone_swing,in_zone_swing,
Ellis, A.J.,454560,2016,.234,58,240,
Iribarren, Hernan,454975,2016,.281,30,55,
Iannetta, Chris,455104,2016,.228,113,528,
Maldonado, Martin,455117,2016,.201,101,286,
Chirinos, Robinson,455139,2016,.202,96,213,
Pena, Ramiro,455369,2016,.245,67,106,
Stewart, Chris,455755,2016,.216,40,117,
Young, Chris,455759,2016,.231,87,273,
Markakis, Nick,455976,2016,.271,291,764,
Pedroia, Dustin,456030,2016,.283,306,870,
Price, David,456034,2016,.003,5,14,
Castillo, Welington,456078,2016,.230,247,562,
Kratz, Erik,456124,2016,.148,51,121,
Bourn, Michael,456422,2016,.227,168,519,
Nunez, Eduardo,456488,2016,.250,395,744,
Cueto, Johnny,456501,2016,.110,42,115,
Pearce, Steve,456665,2016,.273,135,395,
Bailey, Homer,456701,2016,.051,4,11,
Butler, Billy,456714,2016,.306,173,307,
Cain, Lorenzo,456715,2016,.275,276,565,
Solano, Donovan,456781,2016,.181,9,28,
Saltalamacchia, Jarrod,457454,2016,.168,149,366,
De Aza, Alejandro,457477,2016,.244,144,328,
Pacheco, Jordan,457574,2016,.180,29,74,
McCutchen, Andrew,457705,2016,.251,333,932,
Jackson, Austin,457706,2016,.269,95,280,
Upton, Justin,457708,2016,.249,304,842,
Maybin, Cameron,457727,2016,.258,167,473,
Turner, Justin,457759,2016,.274,279,815,
Posey III, Buster,457763,2016,.282,303,769,
Jennings, Desmond,457775,2016,.206,98,286,
Espinosa, Danny,457787,2016,.186,415,717,
Weeks, Jemile,457789,2016,.198,24,77,
Bruce, Jay,457803,2016,.247,413,770,
Happ, J.A.,457918,2016,.265,0,13,
Janish, Paul,457926,2016,.307,11,48,
Votto, Joey,458015,2016,.298,311,892,
Coghlan, Chris,458085,2016,.197,174,342,
Brignac, Reid,458582,2016,.233,19,42,
Rasmus, Colby,458675,2016,.217,244,551,
Gardner, Brett,458731,2016,.250,312,654,
Saunders, Michael,459431,2016,.232,290,775,
Joyce, Matt,459964,2016,.219,111,378,
Hundley, Nick,460026,2016,.244,143,461,
Pennington, Cliff,460060,2016,.191,94,279,
Braun, Ryan,460075,2016,.275,410,647,
Butera, Drew,460077,2016,.218,70,198,
Gordon, Alex,460086,2016,.228,266,659,
Reimold, Nolan,460099,2016,.208,102,297,
Gimenez, Chris,460269,2016,.224,95,190,
Gomez, Carlos,460576,2016,.204,306,617,
Moss, Brandon,461235,2016,.230,320,607,
Kemp, Matt,461314,2016,.265,491,845,
Venable, Will,461416,2016,.170,5,26,
Gonzalez, Gio,461829,2016,.129,40,74,
Plouffe, Trevor,461858,2016,.254,156,434,
Romine, Andrew,461865,2016,.246,132,279,
Andrus, Elvis,462101,2016,.277,248,655,
Petit, Gregorio,463610,2016,.222,143,268,
